TIME,PI
50105.5567175746,225
50105.5567291379,54
50105.55677637458,55
50105.55685080588,82
50105.556919172406,89
50105.55711106956,68
50105.55711132288,85
50105.5571718514,122
50105.55717693269,114
50105.55718548596,54
50105.55725206435,75
50105.557296425104,164
50105.55739155412,106
50105.557406142354,70
50105.557517915964,237
50105.55756658316,187
50105.55757895112,44
50105.55760280788,95
50105.55762074888,131
50105.557639852166,132
50105.55773302913,200
50105.55780476332,132
50105.55782224238,135
50105.5578314513,159
50105.557844907045,218
50105.55788835883,51
50105.55791379511,128
50105.557993888855,81
50105.55802260339,77
50105.55802844465,138
50105.55812172592,160
50105.55820603669,61
50105.55824866891,541
50105.558297380805,50
50105.55833862722,179
50105.55841733515,62
50105.5584243238,183
50105.55843089521,94
50105.558435216546,53
50105.558436110616,93
50105.558465480804,175
50105.55852665007,81
50105.558649003506,166
50105.55869217217,300
50105.55870574713,96
50105.55873917043,217
50105.558742150664,108
50105.558745115995,163
50105.55878292024,357
50105.55884093046,320
50105.5589491874,69
50105.55909772217,159
50105.55914232135,335
50105.55919070542,140
50105.5593034029,179
50105.559343636036,55
50105.55935895443,71
50105.559534326196,191
50105.55958122015,70
50105.55960343778,135
50105.5596690923,220
50105.55968400836,68
50105.55969591439,127
50105.559772878885,69
50105.559789806604,37
50105.55979308486,79
50105.55990564823,124
50105.55991460383,146
50105.55992540717,103
50105.559989884496,206
50105.55999267101,53
50105.56002224982,29
50105.56007669866,106
50105.56012237072,51
50105.56016473472,57
50105.560286551714,258
50105.56030777097,70
50105.56034074724,130
50105.560389220715,110
50105.56054972112,134
50105.56063649058,221
50105.56072641909,138
50105.56076015532,66
50105.56076467037,121
50105.56082037091,93
50105.56085692346,419
50105.560894832015,129
50105.5609587878,92
50105.56098780036,195
50105.56100387871,58
50105.56110699475,129
50105.56113868952,81
50105.561280205846,194
50105.56128759682,122
50105.561495140195,53
50105.56157527864,140
50105.561636939645,121
50105.561648219824,236
50105.56183896959,99
50105.5618686676,69
50105.56190274656,911
50105.56191071868,101
50105.5619764328,166
50105.56211356819,82
50105.56211926043,36
50105.56212244928,425
50105.562195405364,150
50105.56221359968,406
50105.562258794904,73
50105.56234456599,178
50105.56236554682,102
50105.56240926683,201
50105.56242373586,45
50105.562433332205,80
50105.56246775389,29
50105.562511235476,51
50105.56257069111,385
50105.562630072236,530
50105.56266860664,80
50105.56278927624,512
50105.56279423833,93
50105.56289255619,124
50105.56292486191,50
50105.56308312714,427
50105.56310276687,73
50105.56317602098,70
50105.56318171322,121
50105.563362687826,101
50105.5635201633,709
50105.563567742705,220
50105.563578397036,208
50105.56360413134,91
50105.56366369128,74
50105.563739433885,152
50105.56376709044,167
50105.56376905739,215
50105.56391300261,70
50105.563952460885,136
50105.56413324177,116
50105.56414215267,92
50105.56415134668,255
50105.56446444988,61
50105.56447480619,154
50105.56452028453,59
50105.56460700929,180
50105.564631164074,97
50105.56479853392,68
50105.56480783224,70
50105.56483530998,272
50105.56486208737,116
50105.56487905979,36
50105.56492885947,68
50105.56503497064,77
50105.56505186856,45
50105.56506572664,84
50105.5651794374,94
50105.56519654393,38
50105.565223261714,69
50105.56523570418,138
50105.56527425349,153
50105.56544305384,77
50105.56544496119,49
50105.565572977066,43
50105.56558047235,199
50105.565584376454,125
50105.56558698416,171
50105.565672919154,187
50105.56578010321,100
50105.56603130698,128
50105.56608505547,109
50105.566103219986,136
50105.566153496504,90
50105.56623326242,56
50105.566267192364,61
50105.56633409858,198
50105.56633912027,171
50105.56639817357,145
50105.566413357854,103
50105.5664845407,68
50105.56649509072,153
50105.56660757959,67
50105.56671346724,57
50105.56677560508,119
50105.566785275936,265
50105.56700433791,117
50105.567075669765,35
50105.56708087027,109
50105.56711809337,74
50105.56714473665,180
50105.56718964875,108
50105.56730526686,75
50105.56740677357,87
50105.567537516356,50
50105.56753817201,273
50105.567593067884,106
50105.56764699519,214
50105.56765533984,129
50105.567682012916,272
50105.56787288189,70
50105.568029507995,64
50105.568057879806,113
50105.56813497841,488
50105.56819353998,40
50105.56828480959,415
50105.56832180917,334
50105.5683606416,43
50105.56836231053,96
50105.56837256253,123
50105.56837363541,84
50105.56839326024,128
50105.568436950445,490
50105.568492129445,69
50105.56857177615,67
50105.56865569949,100
50105.56868594885,107
50105.56872244179,52
50105.56875602901,76
50105.56877310574,60
50105.56894649565,43
50105.56897971034,230
50105.56914103031,114
50105.56914393604,45
50105.56932902336,142
50105.569336265326,50
50105.569340124726,52
50105.56941871345,206
50105.5694514662,110
50105.56949004531,64
50105.569526195526,176
50105.56974835694,138
50105.56981614232,184
50105.570009186864,393
50105.57004712522,58
50105.57013940811,123
50105.57013955712,136
50105.57015962899,145
50105.570171415806,298
50105.57017533481,96
50105.570307821035,184
50105.57032345235,803
50105.570364519954,193
50105.5705024153,60
50105.57052415609,76
50105.57065038383,276
50105.570653021336,141
50105.57073789835,69
50105.570773646235,84
50105.57077603042,245
50105.570796474814,101
50105.5708450526,61
50105.57085034251,66
50105.57085837424,60
