TIME,lc1,lc2,lc3,lc4,lc5
20.8,7520.0005,8020.0005,2040.0001,1210.0001,270.00003
20.9,7670.0005,7830.0005,2110.0002,1350.0001,520.00006
21.0,6850.0005,6330.0005,1600.0001,1250.0001,520.00006
21.1,7310.0005,7410.0005,1820.0001,960.00006,350.00003
21.2,6830.0005,6540.0005,1480.0001,950.00006,400.00003
21.3,8010.0005,8800.001,1870.0001,1490.0001,420.00003
21.4,9020.001,9290.001,2420.0002,1500.0001,640.00006
21.5,8020.0005,8710.001,2100.0002,1490.0001,520.00006
21.6,7250.0005,7490.0005,1780.0001,1020.00006,340.00003
21.7,5820.0005,6190.0005,1490.0001,1040.0001,360.00003
21.8,6400.0005,6160.0005,1380.0001,890.00006,250.00002
21.9,5470.0005,5310.0005,1180.0001,600.00006,230.00002
22.0,5240.0005,4620.0005,1100.0001,560.00006,270.00003
22.1,4940.0005,3930.0002,870.00006,620.00006,140.00002
22.2,5390.0005,4580.0005,1010.00006,700.00006,310.00003
22.3,6110.0005,5720.0005,1210.0001,800.00006,250.00002
22.4,5730.0005,4760.0005,890.00006,700.00006,270.00003
22.5,4310.0005,3990.0002,760.00006,540.00006,200.00002
22.6,5230.0005,4430.0005,880.00006,660.00006,150.00002
22.7,4880.0005,5070.0005,930.00006,630.00006,210.00002
22.8,6150.0005,6530.0005,1380.0001,1170.0001,300.00003
22.9,6340.0005,5700.0005,1360.0001,870.00006,260.00003
23.0,6210.0005,6180.0005,1380.0001,930.00006,230.00002
23.1,8280.001,8290.001,1440.0001,930.00006,450.00003
23.2,5990.0005,5420.0005,1170.0001,790.00006,300.00003
23.3,5420.0005,4820.0005,930.00006,630.00006,230.00002
23.4,5560.0005,5300.0005,1040.0001,670.00006,220.00002
23.5,7070.0005,7330.0005,1480.0001,890.00006,320.00003
23.6,6340.0005,5680.0005,1040.0001,750.00006,260.00003
23.7,6910.0005,6570.0005,1520.0001,1060.0001,430.00003
23.8,7330.0005,7350.0005,1350.0001,1260.0001,440.00003
23.9,6040.0005,5310.0005,1070.0001,670.00006,220.00002
24.0,5810.0005,4910.0005,1130.0001,730.00006,230.00002
24.1,7730.0005,7570.0005,1600.0001,1320.0001,440.00003
24.2,6200.0005,6040.0005,1310.0001,880.00006,430.00003
