TIME,PI
50111.567296400666,62
50111.56747862697,140
50111.567496448755,150
50111.5678691715,87
50111.5678884387,83
50111.56797237694,85
50111.567976787686,278
50111.56803254783,39
50111.568077772856,126
50111.56816384196,62
50111.568182602525,249
50111.56827901304,111
50111.56830473244,83
50111.56838351488,34
50111.568404600024,150
50111.56855253875,210
50111.568554371595,62
50111.568647667766,66
50111.56877620518,43
50111.568799868226,41
50111.56885546446,50
50111.56890247762,65
50111.56896735728,65
50111.569034188986,65
50111.56908644736,43
50111.56911469996,81
50111.56928859651,71
50111.56933276355,35
50111.569535151124,63
50111.56959120929,82
50111.569636031985,172
50111.56965018809,204
50111.569683372974,76
50111.569724455476,142
50111.56975992024,104
50111.569792315364,48
50111.569871068,92
50111.569988548756,112
50111.57005088031,39
50111.57010115683,61
50111.570164874196,222
50111.57025162876,141
50111.57032045722,245
50111.570348098874,306
50111.570449247956,56
50111.57053031027,61
50111.570659443736,94
50111.570825338364,245
50111.57094065845,46
50111.57099986076,90
50111.57114981115,162
50111.57118423283,81
50111.57120676339,28
50111.57125027478,178
50111.571283221245,93
50111.571328267455,31
50111.57145610452,383
50111.571491494775,99
50111.57154788077,48
50111.57155831158,295
50111.571611732244,156
50111.57165156305,223
50111.5716599673,45
50111.57168674469,81
50111.571701303124,190
50111.571713000536,140
50111.57173745334,51
50111.571780860424,63
50111.57186973095,148
50111.571894317865,66
50111.57195803523,46
50111.57199046016,126
50111.57210020721,333
50111.57211485505,32
50111.57215204835,49
50111.57223176956,49
50111.57233096659,64
50111.57241407037,113
50111.57246348262,115
50111.57246349752,50
50111.572491556406,64
50111.57249428332,34
50111.572514250875,62
50111.57254381478,552
50111.572708785534,145
50111.5728572458,123
50111.573015898466,54
50111.57303100824,58
50111.57305300236,57
50111.57311347127,142
50111.57326616347,45
50111.57329574227,144
50111.57335318625,175
50111.573358908296,62
50111.57338424027,41
50111.573471307755,108
50111.5734860301,101
50111.57349397242,687
50111.57352344692,81
50111.573538810015,320
50111.57357265055,120
50111.57359927893,164
50111.573660224676,74
50111.573852449656,56
50111.57395525277,55
50111.57407356799,118
50111.57413190603,56
50111.5742380023,74
50111.574315577745,195
50111.57432924211,167
50111.57442307472,90
50111.57444921136,87
50111.574634477496,65
50111.574678733945,142
50111.574752405286,542
50111.574768811464,240
50111.57488504052,112
50111.57494686544,141
50111.574969664216,198
50111.57501041889,116
50111.5750772506,387
50111.575261995196,104
50111.57526884973,212
50111.57528415322,125
50111.57536448538,113
50111.575413152575,40
50111.57541419566,113
