TIME,RATE,ERROR,FRACEXP
133089426.87426995,2600.0002,161.24516,0.99999994
133089426.97426994,1890.0001,137.47728,0.99999994
133089427.07426994,1400.0001,118.32161,0.99999994
133089427.17426994,1580.0001,125.69806,0.99999994
133089427.27426994,1190.0001,109.08713,0.99999994
133089427.37426995,1280.0001,113.13709,0.99999994
133089427.47426994,1720.0001,131.14877,0.99999994
133089427.57426994,2090.0002,144.56833,0.99999994
133089427.67426994,1660.0001,128.841,0.99999994
133089427.77426994,1200.0001,109.544525,0.99999994
133089427.87426995,1890.0001,137.47728,0.99999994
133089427.97426994,1580.0001,125.69806,0.99999994
133089428.07426994,1560.0001,124.89996,0.99999994
133089428.17426994,2190.0002,147.9865,0.99999994
133089428.27426994,2030.0001,142.47807,0.99999994
133089428.37426995,2180.0002,147.64824,0.99999994
133089428.47426994,2180.0002,147.64824,0.99999994
133089428.57426994,2300.0002,151.65752,0.99999994
133089428.67426994,3140.0002,177.20045,0.99999994
133089428.77426994,2230.0002,149.33185,0.99999994
133089428.87426995,1570.0001,125.29965,0.99999994
133089428.97426994,1960.0001,140.00002,0.99999994
133089429.07426994,1890.0001,137.47728,0.99999994
133089429.17426994,1880.0001,137.1131,0.99999994
133089429.27426994,3170.0002,178.04494,0.99999994
133089429.37426995,2340.0002,152.9706,0.99999994
133089429.47426994,2200.0002,148.32397,0.99999994
133089429.57426994,2070.0002,143.87495,0.99999994
133089429.67426994,3150.0002,177.4824,0.99999994
133089429.77426994,2600.0002,161.24516,0.99999994
133089429.87426995,1430.0001,119.58261,0.99999994
133089429.97426994,1980.0001,140.71248,0.99999994
133089430.07426994,2300.0002,151.65752,0.99999994
133089430.17426994,2310.0002,151.98685,0.99999994
133089430.27426994,1760.0001,132.66501,0.99999994
133089430.37426995,1260.0001,112.249725,0.99999994
133089430.47426994,1450.0001,120.415955,0.99999994
133089430.57426994,1370.0001,117.047005,0.99999994
133089430.67426994,1510.0001,122.882065,0.99999994
133089430.77426994,1830.0001,135.2775,0.99999994
133089430.87426995,2060.0002,143.52701,0.99999994
133089430.97426994,2260.0002,150.33298,0.99999994
133089431.07426994,2690.0002,164.0122,0.99999994
133089431.17426994,1690.0001,130.00002,0.99999994
133089431.27426994,1750.0001,132.28758,0.99999994
133089431.37426995,1650.0001,128.45233,0.99999994
133089431.47426994,1490.0001,122.06556,0.99999994
133089431.57426994,1860.0001,136.38182,0.99999994
133089431.67426994,1750.0001,132.28758,0.99999994
133089431.77426994,2070.0002,143.87495,0.99999994
133089431.87426995,2460.0002,156.84389,0.99999994
133089431.97426994,1840.0001,135.6466,0.99999994
133089432.07426994,1510.0001,122.882065,0.99999994
133089432.17426994,1850.0001,136.01472,0.99999994
133089432.27426994,2320.0002,152.31548,0.99999994
133089432.37426995,2670.0002,163.40137,0.99999994
133089432.47426994,2300.0002,151.65752,0.99999994
133089432.57426994,1800.0001,134.16408,0.99999994
133089432.67426994,1870.0001,136.74796,0.99999994
133089432.77426994,2450.0002,156.52477,0.99999994
133089432.87426995,3040.0002,174.35597,0.99999994
133089432.97426994,2730.0002,165.22711,0.99999994
133089433.07426994,2890.0002,170.00002,0.99999994
133089433.17426994,2930.0002,171.17244,0.99999994
133089433.27426994,2480.0002,157.48016,0.99999994
133089433.37426995,2550.0002,159.68721,0.99999994
133089433.47426994,2740.0002,165.52946,0.99999994
133089433.57426994,3380.0002,183.84778,0.99999994
133089433.67426994,3530.0002,187.88295,0.99999994
133089433.77426994,2580.0002,160.6238,0.99999994
133089433.87426995,2280.0002,150.99669,0.99999994
133089433.97426994,2680.0002,163.70706,0.99999994
133089434.07426994,3780.0002,194.42224,0.99999994
133089434.17426994,3140.0002,177.20045,0.99999994
133089434.27426994,2840.0002,168.523,0.99999994
133089434.37426995,2370.0002,153.94804,0.99999994
133089434.47426994,2300.0002,151.65752,0.99999994
133089434.57426994,2610.0002,161.55496,0.99999994
133089434.67426994,2520.0002,158.74509,0.99999994
133089434.77426994,2790.0002,167.03294,0.99999994
133089434.87426995,3220.0002,179.4436,0.99999994
133089434.97426994,3530.0002,187.88295,0.99999994
133089435.07426994,3130.0002,176.91808,0.99999994
133089435.17426994,2870.0002,169.41075,0.99999994
133089435.27426994,3190.0002,178.60571,0.99999994
133089435.37426995,3090.0002,175.78397,0.99999994
133089435.47426994,2890.0002,170.00002,0.99999994
133089435.57426994,2820.0002,167.92857,0.99999994
133089435.67426994,2590.0002,160.93478,0.99999994
133089435.77426994,3580.0002,189.20888,0.99999994
133089435.87426995,4310.0005,207.60541,0.99999994
133089435.97426994,4250.0005,206.15529,0.99999994
133089436.07426994,3710.0002,192.61362,0.99999994
133089436.17426994,3780.0002,194.42224,0.99999994
133089436.27426994,4300.0005,207.36443,0.99999994
133089436.37426995,4390.0005,209.52328,0.99999994
133089436.47426994,4680.0005,216.3331,0.99999994
133089436.57426994,4580.0005,214.00935,0.99999994
133089436.67426994,4240.0005,205.91263,0.99999994
133089436.77426994,3740.0002,193.39081,0.99999994
133089436.87426995,3340.0002,182.75668,0.99999994
133089436.97426994,2480.0002,157.48016,0.99999994
133089437.07426994,4130.0005,203.22403,0.99999994
133089437.17426994,3210.0002,179.16475,0.99999994
133089437.27426994,2370.0002,153.94804,0.99999994
133089437.37426995,2670.0002,163.40137,0.99999994
133089437.47426994,2980.0002,172.62677,0.99999994
133089437.57426994,2520.0002,158.74509,0.99999994
133089437.67426994,3410.0002,184.66185,0.99999994
133089437.77426994,3240.0002,180.00002,0.99999994
133089437.87426995,3430.0002,185.2026,0.99999994
133089437.97426994,2820.0002,167.92857,0.99999994
133089438.07426994,2780.0002,166.73334,0.99999994
133089438.17426994,2410.0002,155.24176,0.99999994
133089438.27426994,3360.0002,183.30304,0.99999994
133089438.37426995,3890.0002,197.23085,0.99999994
133089438.47426994,3550.0002,188.41444,0.99999994
133089438.57426994,2790.0002,167.03294,0.99999994
133089438.67426994,2530.0002,159.05974,0.99999994
133089438.77426994,2270.0002,150.66519,0.99999994
133089438.87426995,1770.0001,133.04135,0.99999994
133089438.97426994,1660.0001,128.841,0.99999994
133089439.07426994,1480.0001,121.65526,0.99999994
133089439.17426994,1710.0001,130.76697,0.99999994
133089439.27426994,2010.0001,141.77448,0.99999994
133089439.37426995,1590.0001,126.09521,0.99999994
133089439.47426994,1280.0001,113.13709,0.99999994
133089439.57426994,1530.0001,123.69318,0.99999994
133089439.67426994,1560.0001,124.89996,0.99999994
133089439.77426994,2540.0002,159.37378,0.99999994
133089439.87426995,2220.0002,148.99666,0.99999994
133089439.97426994,2310.0002,151.98685,0.99999994
133089440.07426994,2360.0002,153.62292,0.99999994
133089440.17426994,1960.0001,140.00002,0.99999994
133089440.27426994,1560.0001,124.89996,0.99999994
133089440.37426995,1700.0001,130.38405,0.99999994
133089440.47426994,2360.0002,153.62292,0.99999994
133089440.57426994,1790.0001,133.7909,0.99999994
133089440.67426994,2570.0002,160.31221,0.99999994
133089440.77426994,2610.0002,161.55496,0.99999994
133089440.87426995,1740.0001,131.90906,0.99999994
133089440.97426994,1860.0001,136.38182,0.99999994
133089441.07426994,2910.0002,170.58722,0.99999994
133089441.17426994,2170.0002,147.3092,0.99999994
133089441.27426994,2130.0002,145.9452,0.99999994
133089441.37426995,2580.0002,160.6238,0.99999994
133089441.47426994,3430.0002,185.2026,0.99999994
133089441.57426994,3780.0002,194.42224,0.99999994
133089441.67426994,3200.0002,178.88545,0.99999994
133089441.77426994,3350.0002,183.03006,0.99999994
133089441.87426995,4210.0005,205.18285,0.99999994
133089441.97426994,3280.0002,181.10773,0.99999994
133089442.07426994,4400.0005,209.76178,0.99999994
133089442.17426994,4070.0002,201.74242,0.99999994
133089442.27426994,2600.0002,161.24516,0.99999994
133089442.37426995,3870.0002,196.72318,0.99999994
133089442.47426994,2730.0002,165.22711,0.99999994
133089442.57426994,3030.0002,174.06895,0.99999994
133089442.67426994,3010.0002,173.49353,0.99999994
133089442.77426994,3390.0002,184.11954,0.99999994
133089442.87426995,2520.0002,158.74509,0.99999994
133089442.97426994,3460.0002,186.01077,0.99999994
133089443.07426994,3200.0002,178.88545,0.99999994
133089443.17426994,3520.0002,187.61664,0.99999994
133089443.27426994,5770.0005,240.20825,0.99999994
133089443.37426995,4300.0005,207.36443,0.99999994
133089443.47426994,5500.0005,234.5208,0.99999994
133089443.57426994,2820.0002,167.92857,0.99999994
133089443.67426994,2410.0002,155.24176,0.99999994
133089443.77426994,1400.0001,118.32161,0.99999994
133089443.87426995,2350.0002,153.2971,0.99999994
133089443.97426994,3370.0002,183.5756,0.99999994
133089444.07426994,3860.0002,196.46884,0.99999994
133089444.17426994,2600.0002,161.24516,0.99999994
133089444.27426994,3610.0002,190.00002,0.99999994
133089444.37426995,3880.0002,196.97717,0.99999994
133089444.47426994,3120.0002,176.63522,0.99999994
133089444.57426994,3280.0002,181.10773,0.99999994
133089444.67426994,2730.0002,165.22711,0.99999994
133089444.77426994,2210.0002,148.66069,0.99999994
133089444.87426995,2490.0002,157.79735,0.99999994
133089444.97426994,3710.0002,192.61362,0.99999994
133089445.07426994,4720.0005,217.25563,0.99999994
133089445.17426994,4960.0005,222.71059,0.99999994
133089445.27426994,3690.0002,192.09375,0.99999994
133089445.37426995,2470.0002,157.16234,0.99999994
133089445.47426994,3570.0002,188.94444,0.99999994
133089445.57426994,5340.0005,231.08441,0.99999994
133089445.67426994,2160.0002,146.96939,0.99999994
133089445.77426994,1810.0001,134.53624,0.99999994
133089445.87426995,1750.0001,132.28758,0.99999994
133089445.97426994,1330.0001,115.32563,0.99999994
133089446.07426994,1760.0001,132.66501,0.99999994
133089446.17426994,1340.0001,115.75838,0.99999994
133089446.27426994,2900.0002,170.29387,0.99999994
133089446.37426995,2890.0002,170.00002,0.99999994
133089446.47426994,3600.0002,189.73666,0.99999994
133089446.57426994,3660.0002,191.31128,0.99999994
133089446.67426994,3730.0002,193.1321,0.99999994
133089446.77426994,4550.0005,213.3073,0.99999994
133089446.87426995,3210.0002,179.16475,0.99999994
133089446.97426994,2880.0002,169.70563,0.99999994
133089447.07426994,2430.0002,155.88458,0.99999994
133089447.17426994,3890.0002,197.23085,0.99999994
133089447.27426994,4330.0005,208.08655,0.99999994
133089447.37426995,4020.0002,200.49939,0.99999994
133089447.47426994,2230.0002,149.33185,0.99999994
133089447.57426994,2960.0002,172.04652,0.99999994
133089447.67426994,4080.0002,201.9901,0.99999994
133089447.77426994,3360.0002,183.30304,0.99999994
133089447.87426995,2570.0002,160.31221,0.99999994
133089447.97426994,3050.0002,174.6425,0.99999994
133089448.07426994,4310.0005,207.60541,0.99999994
133089448.17426994,3830.0002,195.70386,0.99999994
133089448.27426994,2840.0002,168.523,0.99999994
133089448.37426995,1920.0001,138.56407,0.99999994
133089448.47426994,2410.0002,155.24176,0.99999994
133089448.57426994,3210.0002,179.16475,0.99999994
133089448.67426994,5280.0005,229.78252,0.99999994
133089448.77426994,2670.0002,163.40137,0.99999994
133089448.87426995,3400.0002,184.3909,0.99999994
133089448.97426994,2610.0002,161.55496,0.99999994
133089449.07426994,4000.0002,200.00002,0.99999994
133089449.17426994,3030.0002,174.06895,0.99999994
133089449.27426994,3740.0002,193.39081,0.99999994
133089449.37426995,3850.0002,196.21417,0.99999994
133089449.47426994,3540.0002,188.1489,0.99999994
133089449.57426994,4840.0005,220.00002,0.99999994
133089449.67426994,3860.0002,196.46884,0.99999994
133089449.77426994,3410.0002,184.66185,0.99999994
133089449.87426995,3470.0002,186.27936,0.99999994
133089449.97426994,3700.0002,192.35385,0.99999994
133089450.07426994,3320.0002,182.20868,0.99999994
133089450.17426994,3450.0002,185.74176,0.99999994
133089450.27426994,3580.0002,189.20888,0.99999994
133089450.37426995,4210.0005,205.18285,0.99999994
133089450.47426994,4410.0005,210.00002,0.99999994
133089450.57426994,3670.0002,191.57245,0.99999994
133089450.67426994,2720.0002,164.92422,0.99999994
133089450.77426994,3180.0002,178.32555,0.99999994
133089450.87426995,2480.0002,157.48016,0.99999994
133089450.97426994,3790.0002,194.67923,0.99999994
133089451.07426994,3630.0002,190.5256,0.99999994
133089451.17426994,2500.0002,158.11389,0.99999994
133089451.27426994,3200.0002,178.88545,0.99999994
133089451.37426995,3010.0002,173.49353,0.99999994
133089451.47426994,3840.0002,195.9592,0.99999994
133089451.57426994,3920.0002,197.98991,0.99999994
133089451.67426994,4180.0005,204.45049,0.99999994
133089451.77426994,5970.0005,244.33586,0.99999994
133089451.87426995,4790.0005,218.8607,0.99999994
133089451.97426994,5310.0005,230.43439,0.99999994
133089452.07426994,4330.0005,208.08655,0.99999994
133089452.17426994,3590.0002,189.47298,0.99999994
133089452.27426994,4470.0005,211.42375,0.99999994
133089452.37426995,4390.0005,209.52328,0.99999994
133089452.47426994,4120.0005,202.97784,0.99999994
133089452.57426994,3610.0002,190.00002,0.99999994
133089452.67426994,4660.0005,215.87033,0.99999994
133089452.77426994,4080.0002,201.9901,0.99999994
133089452.87426995,4640.0005,215.4066,0.99999994
133089452.97426994,4480.0005,211.66011,0.99999994
133089453.07426994,4750.0005,217.94496,0.99999994
133089453.17426994,3850.0002,196.21417,0.99999994
133089453.27426994,4640.0005,215.4066,0.99999994
133089453.37426995,3790.0002,194.67923,0.99999994
133089453.47426994,5440.0005,233.23808,0.99999994
133089453.57426994,6530.0005,255.53867,0.99999994
133089453.67426994,5410.0005,232.59409,0.99999994
133089453.77426994,4010.0002,200.24986,0.99999994
133089453.87426995,2690.0002,164.0122,0.99999994
133089453.97426994,2360.0002,153.62292,0.99999994
133089454.07426994,2900.0002,170.29387,0.99999994
133089454.17426994,3620.0002,190.263,0.99999994
133089454.27426994,4650.0005,215.6386,0.99999994
133089454.37426995,3880.0002,196.97717,0.99999994
133089454.47426994,4280.0005,206.8816,0.99999994
133089454.57426994,3690.0002,192.09375,0.99999994
133089454.67426994,3730.0002,193.1321,0.99999994
133089454.77426994,5320.0005,230.65126,0.99999994
133089454.87426995,5280.0005,229.78252,0.99999994
133089454.97426994,5530.0005,235.15953,0.99999994
133089455.07426994,5110.0005,226.0531,0.99999994
133089455.17426994,3160.0002,177.76389,0.99999994
133089455.27426994,3000.0002,173.2051,0.99999994
133089455.37426995,5380.0005,231.94827,0.99999994
133089455.47426994,3770.0002,194.1649,0.99999994
133089455.57426994,3600.0002,189.73666,0.99999994
133089455.67426994,3570.0002,188.94444,0.99999994
133089455.77426994,4110.0005,202.73135,0.99999994
133089455.87426995,3840.0002,195.9592,0.99999994
133089455.97426994,6550.0005,255.92969,0.99999994
133089456.07426994,7900.0005,281.0694,0.99999994
133089456.17426994,4920.0005,221.81073,0.99999994
133089456.27426994,6030.0005,245.56061,0.99999994
133089456.37426995,5420.0005,232.80894,0.99999994
133089456.47426994,4530.0005,212.83798,0.99999994
133089456.57426994,5830.0005,241.45395,0.99999994
133089456.67426994,6010.0005,245.15302,0.99999994
133089456.77426994,5220.0005,228.4732,0.99999994
133089456.87426995,5090.0005,225.61029,0.99999994
133089456.97426994,5070.0005,225.16663,0.99999994
133089457.07426994,5330.0005,230.86794,0.99999994
133089457.17426994,4380.0005,209.28452,0.99999994
133089457.27426994,3320.0002,182.20868,0.99999994
133089457.37426995,3790.0002,194.67923,0.99999994
133089457.47426994,2920.0002,170.88008,0.99999994
133089457.57426994,2670.0002,163.40137,0.99999994
133089457.67426994,3710.0002,192.61362,0.99999994
133089457.77426994,3610.0002,190.00002,0.99999994
133089457.87426995,3540.0002,188.1489,0.99999994
133089457.97426994,2730.0002,165.22711,0.99999994
133089458.07426994,2850.0002,168.81944,0.99999994
133089458.17426994,2510.0002,158.42981,0.99999994
133089458.27426994,1900.0001,137.8405,0.99999994
133089458.37426995,1960.0001,140.00002,0.99999994
133089458.47426994,2850.0002,168.81944,0.99999994
133089458.57426994,3580.0002,189.20888,0.99999994
133089458.67426994,4620.0005,214.94186,0.99999994
133089458.77426994,5390.0005,232.16374,0.99999994
133089458.87426995,2990.0002,172.91617,0.99999994
133089458.97426994,1480.0001,121.65526,0.99999994
133089459.07426994,1180.0001,108.627815,0.99999994
133089459.17426994,1220.0001,110.45361,0.99999994
133089459.27426994,2000.0001,141.42137,0.99999994
133089459.37426995,2450.0002,156.52477,0.99999994
133089459.47426994,3080.0002,175.4993,0.99999994
133089459.57426994,2130.0002,145.9452,0.99999994
133089459.67426994,2970.0002,172.3369,0.99999994
133089459.77426994,2560.0002,160.00002,0.99999994
133089459.87426995,2130.0002,145.9452,0.99999994
133089459.97426994,1750.0001,132.28758,0.99999994
133089460.07426994,1030.0001,101.48892,0.99999994
133089460.17426994,1550.0001,124.499,0.99999994
133089460.27426994,2350.0002,153.2971,0.99999994
133089460.37426995,1610.0001,126.88578,0.99999994
133089460.47426994,1510.0001,122.882065,0.99999994
133089460.57426994,1760.0001,132.66501,0.99999994
133089460.67426994,1830.0001,135.2775,0.99999994
133089460.77426994,1840.0001,135.6466,0.99999994
133089460.87426995,1450.0001,120.415955,0.99999994
133089460.97426994,2160.0002,146.96939,0.99999994
133089461.07426994,2540.0002,159.37378,0.99999994
133089461.17426994,2930.0002,171.17244,0.99999994
133089461.27426994,2180.0002,147.64824,0.99999994
133089461.37426995,3090.0002,175.78397,0.99999994
133089461.47426994,4640.0005,215.4066,0.99999994
133089461.57426994,4230.0005,205.66965,0.99999994
133089461.67426994,3200.0002,178.88545,0.99999994
133089461.77426994,2940.0002,171.4643,0.99999994
133089461.87426995,2400.0002,154.91934,0.99999994
133089461.97426994,3190.0002,178.60571,0.99999994
133089462.07426994,2840.0002,168.523,0.99999994
133089462.17426994,2260.0002,150.33298,0.99999994
133089462.27426994,2830.0002,168.22604,0.99999994
133089462.37426995,3380.0002,183.84778,0.99999994
133089462.47426994,4230.0005,205.66965,0.99999994
133089462.57426994,4900.0005,221.35945,0.99999994
133089462.67426994,4690.0005,216.5641,0.99999994
133089462.77426994,3090.0002,175.78397,0.99999994
133089462.87426995,3590.0002,189.47298,0.99999994
133089462.97426994,3280.0002,181.10773,0.99999994
133089463.07426994,3010.0002,173.49353,0.99999994
133089463.17426994,2560.0002,160.00002,0.99999994
133089463.27426994,3130.0002,176.91808,0.99999994
133089463.37426995,3580.0002,189.20888,0.99999994
133089463.47426994,2190.0002,147.9865,0.99999994
133089463.57426994,3330.0002,182.48288,0.99999994
133089463.67426994,3050.0002,174.6425,0.99999994
133089463.77426994,2110.0002,145.25839,0.99999994
133089463.87426995,2710.0002,164.62079,0.99999994
133089463.97426994,3150.0002,177.4824,0.99999994
133089464.07426994,2610.0002,161.55496,0.99999994
133089464.17426994,1850.0001,136.01472,0.99999994
133089464.27426994,2040.0001,142.82858,0.99999994
133089464.37426995,2870.0002,169.41075,0.99999994
133089464.47426994,2940.0002,171.4643,0.99999994
133089464.57426994,2900.0002,170.29387,0.99999994
133089464.67426994,2360.0002,153.62292,0.99999994
133089464.77426994,2300.0002,151.65752,0.99999994
133089464.87426995,2690.0002,164.0122,0.99999994
133089464.97426994,3400.0002,184.3909,0.99999994
133089465.07426994,2610.0002,161.55496,0.99999994
133089465.17426994,2500.0002,158.11389,0.99999994
133089465.27426994,2190.0002,147.9865,0.99999994
133089465.37426995,2130.0002,145.9452,0.99999994
133089465.47426994,2860.0002,169.11536,0.99999994
133089465.57426994,3090.0002,175.78397,0.99999994
133089465.67426994,3280.0002,181.10773,0.99999994
133089465.77426994,4340.0005,208.32668,0.99999994
133089465.87426995,6500.0005,254.95099,0.99999994
133089465.97426994,4020.0002,200.49939,0.99999994
133089466.07426994,6130.0005,247.58838,0.99999994
133089466.17426994,6720.0005,259.22964,0.99999994
133089466.27426994,6340.0005,251.7936,0.99999994
133089466.37426995,5320.0005,230.65126,0.99999994
133089466.47426994,4740.0005,217.71542,0.99999994
133089466.57426994,5180.0005,227.59615,0.99999994
133089466.67426994,4370.0005,209.04546,0.99999994
133089466.77426994,3940.0002,198.49435,0.99999994
133089466.87426995,3870.0002,196.72318,0.99999994
133089466.97426994,4450.0005,210.95024,0.99999994
133089467.07426994,4550.0005,213.3073,0.99999994
133089467.17426994,5010.0005,223.8303,0.99999994
133089467.27426994,4590.0005,214.24287,0.99999994
133089467.37426995,5220.0005,228.4732,0.99999994
133089467.47426994,4490.0005,211.89622,0.99999994
133089467.57426994,4840.0005,220.00002,0.99999994
133089467.67426994,4410.0005,210.00002,0.99999994
133089467.77426994,4090.0002,202.2375,0.99999994
133089467.87426995,3650.0002,191.04974,0.99999994
133089467.97426994,3250.0002,180.27757,0.99999994
133089468.07426994,3960.0002,198.9975,0.99999994
133089468.17426994,3420.0002,184.93243,0.99999994
133089468.27426994,4040.0002,200.99751,0.99999994
133089468.37426995,3340.0002,182.75668,0.99999994
133089468.47426994,3470.0002,186.27936,0.99999994
133089468.57426994,3000.0002,173.2051,0.99999994
133089468.67426994,3120.0002,176.63522,0.99999994
133089468.77426994,3610.0002,190.00002,0.99999994
133089468.87426995,4350.0005,208.56654,0.99999994
133089468.97426994,3740.0002,193.39081,0.99999994
133089469.07426994,2580.0002,160.6238,0.99999994
133089469.17426994,2430.0002,155.88458,0.99999994
133089469.27426994,3260.0002,180.5547,0.99999994
133089469.37426995,2340.0002,152.9706,0.99999994
133089469.47426994,2260.0002,150.33298,0.99999994
133089469.57426994,2190.0002,147.9865,0.99999994
133089469.67426994,2440.0002,156.205,0.99999994
133089469.77426994,1910.0001,138.20276,0.99999994
133089469.87426995,2220.0002,148.99666,0.99999994
133089469.97426994,2030.0001,142.47807,0.99999994
133089470.07426994,2700.0002,164.31677,0.99999994
133089470.17426994,1830.0001,135.2775,0.99999994
133089470.27426994,2300.0002,151.65752,0.99999994
133089470.37426995,2910.0002,170.58722,0.99999994
133089470.47426994,3410.0002,184.66185,0.99999994
133089470.57426994,3550.0002,188.41444,0.99999994
133089470.67426994,4670.0005,216.10185,0.99999994
133089470.77426994,3650.0002,191.04974,0.99999994
133089470.87426995,2200.0002,148.32397,0.99999994
133089470.97426994,2980.0002,172.62677,0.99999994
133089471.07426994,3160.0002,177.76389,0.99999994
133089471.17426994,3230.0002,179.72202,0.99999994
133089471.27426994,3050.0002,174.6425,0.99999994
133089471.37426995,2710.0002,164.62079,0.99999994
133089471.47426994,2390.0002,154.59627,0.99999994
133089471.57426994,2490.0002,157.79735,0.99999994
133089471.67426994,2540.0002,159.37378,0.99999994
133089471.77426994,2380.0002,154.27249,0.99999994
133089471.87426995,2420.0002,155.56349,0.99999994
133089471.97426994,2170.0002,147.3092,0.99999994
133089472.07426994,2530.0002,159.05974,0.99999994
133089472.17426994,2820.0002,167.92857,0.99999994
133089472.27426994,2760.0002,166.13248,0.99999994
133089472.37426995,2240.0002,149.6663,0.99999994
133089472.47426994,1790.0001,133.7909,0.99999994
133089472.57426994,2200.0002,148.32397,0.99999994
133089472.67426994,2360.0002,153.62292,0.99999994
