time,band1,band2,band3,band4,band5
17.2,10560.001,8900.001,1860.0001,1280.0001,480.00003
17.3,8510.001,8410.001,1710.0001,1130.0001,520.00006
17.4,8860.001,7430.0005,1500.0001,870.00006,300.00003
17.5,8550.001,7190.0005,1410.0001,890.00006,340.00003
17.6,9430.001,8630.001,1670.0001,940.00006,310.00003
17.7,9720.001,8650.001,1570.0001,950.00006,380.00003
17.8,9850.001,9340.001,1620.0001,1170.0001,440.00003
17.9,10770.001,10440.001,1870.0001,1360.0001,440.00003
18.0,11000.001,10550.001,2310.0002,1220.0001,500.00003
18.1,10330.001,9290.001,1790.0001,1350.0001,390.00003
18.2,10110.001,8980.001,1900.0001,960.00006,440.00003
18.3,10940.001,8890.001,1900.0001,1280.0001,360.00003
18.4,9930.001,9440.001,1880.0001,1210.0001,480.00003
18.5,9510.001,8040.0005,1670.0001,1220.0001,370.00003
18.6,9380.001,8650.001,1710.0001,1090.0001,550.00006
18.7,9030.001,8080.0005,1630.0001,960.00006,400.00003
18.8,10750.001,10560.001,2200.0002,1370.0001,480.00003
18.9,12080.001,10830.001,2510.0002,1800.0001,450.00003
19.0,11650.001,11230.001,2460.0002,1800.0001,610.00006
19.1,10790.001,9250.001,2380.0002,1330.0001,530.00006
19.2,11440.001,11620.001,2320.0002,1440.0001,610.00006
19.3,12590.001,12720.001,2380.0002,1930.0001,760.00006
19.4,12590.001,12250.001,2600.0002,1780.0001,570.00006
19.5,12460.001,13000.001,2700.0002,1980.0001,730.00006
19.6,11750.001,11470.001,2680.0002,1910.0001,710.00006
19.7,10310.001,9990.001,2490.0002,1760.0001,680.00006
19.8,9300.001,9360.001,2230.0002,1510.0001,660.00006
19.9,8520.001,8870.001,1890.0001,1450.0001,530.00006
20.0,7650.0005,7820.0005,1430.0001,1050.0001,420.00003
20.1,9580.001,10520.001,2330.0002,1790.0001,790.00006
20.2,7610.0005,8590.001,1920.0001,1300.0001,500.00003
20.3,6640.0005,6060.0005,1340.0001,1030.0001,390.00003
20.4,7330.0005,7420.0005,1610.0001,1060.0001,350.00003
20.5,8430.001,9050.001,1820.0001,1160.0001,390.00003
20.6,7610.0005,6450.0005,1560.0001,950.00006,470.00003
20.7,8230.001,8920.001,2170.0002,1230.0001,370.00003
20.8,7410.0005,7990.0005,2050.0002,1200.0001,270.00003
20.9,7490.0005,7860.0005,2110.0002,1310.0001,520.00006
21.0,6740.0005,6320.0005,1590.0001,1230.0001,520.00006
21.1,7170.0005,7420.0005,1810.0001,960.00006,350.00003
21.2,6720.0005,6540.0005,1480.0001,930.00006,400.00003
21.3,7860.0005,8790.001,1880.0001,1490.0001,420.00003
21.4,8870.001,9230.001,2430.0002,1470.0001,640.00006
21.5,7830.0005,8720.001,2100.0002,1450.0001,520.00006
21.6,7070.0005,7520.0005,1750.0001,1020.00006,340.00003
21.7,5800.0005,6140.0005,1500.0001,1040.0001,360.00003
21.8,6260.0005,6150.0005,1380.0001,890.00006,250.00002
21.9,5330.0005,5330.0005,1180.0001,590.00006,230.00002
22.0,5120.0005,4620.0005,1100.0001,560.00006,270.00003
22.1,4750.0005,3930.0002,870.00006,610.00006,140.00002
22.2,5240.0005,4570.0005,1020.00006,700.00006,310.00003
22.3,5980.0005,5710.0005,1230.0001,790.00006,250.00002
22.4,5640.0005,4760.0005,890.00006,700.00006,270.00003
22.5,4240.0005,4000.0002,750.00006,520.00006,200.00002
22.6,5110.0005,4450.0005,890.00006,650.00006,150.00002
22.7,4750.0005,5070.0005,930.00006,630.00006,210.00002
22.8,6050.0005,6520.0005,1380.0001,1160.0001,300.00003
22.9,6290.0005,5690.0005,1360.0001,860.00006,260.00003
23.0,6020.0005,6200.0005,1370.0001,930.00006,230.00002
23.1,8130.0005,8280.001,1440.0001,920.00006,450.00003
23.2,5870.0005,5390.0005,1180.0001,790.00006,300.00003
23.3,5300.0005,4820.0005,930.00006,630.00006,230.00002
23.4,5500.0005,5290.0005,1040.0001,660.00006,220.00002
